iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
0,0.005,0,1,1,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000000010000000000000111,0,0,0.000000,0.000000,0,0,11,6,0,0,0,0
0,0.010,0,1,1,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000000000010000000000111,0,0,0.000000,0.000000,0,0,11,5,0,0,0,0
0,0.015,0,1,1,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000010000000000000000111,0,0,0.000000,0.000000,0,0,11,6,0,0,0,0
0,0.020,0,1,1,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000000010000000000000111,0,0,0.000000,0.000000,0,0,11,3,0,0,0,0
0,0.025,0,1,1,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000000000010000000000111,0,0,0.000000,0.000000,0,0,11,4,0,0,0,0
0,0.030,0,1,2,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000000001010000000000111,0,0,0.000000,0.000000,0,0,11,7,0,0,0,0
0,0.035,0,1,3,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000000101010000000000111,0,0,0.000000,0.000000,0,0,11,5,0,0,0,0
0,0.040,0,1,0,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,0,0.000000,0.000000,0,0,11,6,0,0,0,0
0,0.045,0,1,2,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000001001000000000000111,0,0,0.000000,0.000000,0,0,11,4,0,0,0,0
0,0.050,0,1,2,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000010001000000000000000111,0,0,0.000000,0.000000,0,0,11,6,0,0,0,0
0,0.056,1,1,1,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000100000100000000000000111,0,0,0.000000,0.000000,0,0,11,3,0,0,0,0
0,0.061,0,1,4,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000001101001000000000111,0,0,0.000000,0.000000,0,0,11,4,0,0,0,0
0,0.066,0,1,1,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000000100000000000000111,0,0,0.000000,0.000000,0,0,11,7,0,0,0,0
0,0.071,0,1,2,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000000001001000000000000111,0,0,0.000000,0.000000,0,0,11,7,0,0,0,0
