iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
0,0.005,1,1,0,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000100000000000000000000111,0,5,0.120000,0.620967,0,0,11,5,1,0,5,0
0,0.020,1,1,0,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000100000000000000000000111,0,3,0.070000,0.380920,0,3,3,3,1,0,5,1
1,0.038,1,9,0,3,0000000000000000000000000000000000000000000000000111000000000000,0000000000000000000000000000000000000000100000000000000000000111,0,2,0.060000,0.276405,0,3,3,2,1,0,5,1
1,0.053,1,9,0,3,0000000000000000000000000000000000000000000000000111000000000000,0000000000000000000000000000000000000000100000000000000000000111,0,3,0.080000,0.391918,0,0,6,3,0,1,5,1
2,0.072,1,6,3,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000100111000000000000111,0,4,0.150000,0.668954,0,4,4,4,1,0,5,1
3,0.092,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000010000000000000111,0,3,0.070000,0.380920,0,4,4,3,1,0,5,1
3,0.107,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000010000000000000000000111,0,4,0.110000,0.487750,0,0,8,4,0,1,5,1
4,0.123,1,4,0,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000000100000000000000000111,0,4,0.100000,0.500000,0,5,5,4,1,0,5,1
5,0.139,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000100000000000000000000111,0,2,0.070000,0.324191,0,5,5,2,1,0,5,1
5,0.154,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000100000000000000000000111,0,4,0.100000,0.500000,0,5,5,4,1,0,5,1
5,0.169,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000100000000000000000000111,0,5,0.140000,0.632772,0,0,10,5,0,1,5,1
6,0.185,1,2,0,10,0000000000000000000000000000000000000000001111111111000000000000,0000000000000000000000000000000000000000100000000000000000000111,0,2,0.060000,0.276405,0,6,6,2,1,0,5,1
7,0.201,1,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000010000000000000000111,0,5,0.100000,0.574456,0,6,6,5,1,0,5,1
7,0.216,1,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000010000000000000000111,0,3,0.150000,0.536190,0,6,6,3,1,0,5,1
7,0.231,1,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000010000000000000000000111,0,2,0.060000,0.310483,0,6,6,2,1,0,5,1
7,0.247,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,2,0.120000,0.453431,0,5,5,2,1,0,5,1
8,0.263,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,4,0.130000,0.541387,0,5,5,4,1,0,5,1
8,0.278,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.110000,0.444860,0,5,5,3,1,0,5,1
8,0.293,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,4,0.130000,0.610819,0,4,4,4,1,0,5,1
9,0.309,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000010000000000000000111,0,3,0.080000,0.416653,0,4,4,3,1,0,5,1
9,0.324,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.110000,0.466798,0,4,4,3,1,0,5,1
9,0.339,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000100000000000000111,0,2,0.080000,0.365513,0,4,4,2,1,0,5,1
9,0.354,1,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000100000000000000111,0,4,0.140000,0.566039,0,0,8,4,0,1,5,1
10,0.370,0,4,0,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,5,0.110000,0.563826,0,5,5,5,1,0,5,1
11,0.386,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,2,0.060000,0.310483,0,5,5,2,1,0,5,1
11,0.402,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,2,0.090000,0.349142,0,5,5,2,1,0,5,1
11,0.417,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,2,0.050000,0.295804,0,5,5,2,1,0,5,1
11,0.432,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.080000,0.391918,0,5,5,3,1,0,5,1
11,0.447,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,2,0.060000,0.310483,0,5,5,2,1,0,5,1
11,0.462,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,4,0.090000,0.471063,0,5,5,4,1,0,5,1
11,0.477,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,4,0.090000,0.471063,0,5,5,4,1,0,5,1
11,0.492,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,2,0.050000,0.259808,0,5,5,2,1,0,5,1
11,0.507,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,5,0.150000,0.683740,0,0,10,5,0,1,5,1
12,0.523,0,2,0,10,0000000000000000000000000000000000000000001111111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.111111,0.510276,0,6,6,3,1,0,5,1
13,0.540,1,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000010000000000000000000111,0,4,0.160000,0.628013,0,4,4,4,1,0,5,1
14,0.556,0,8,0,4,0000000000000000000000000000000000000000000000001111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,4,0.160000,0.628013,0,0,8,4,0,1,5,1
15,0.572,0,4,0,8,0000000000000000000000000000000000000000000011111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,5,0.130000,0.594222,0,5,5,5,1,0,5,1
16,0.588,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.111111,0.469018,0,5,5,3,1,0,5,1
16,0.603,0,7,2,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000011000000000000111,0,3,0.100000,0.435890,0,5,5,3,1,0,5,1
16,0.618,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.160000,0.560714,0,5,5,3,1,0,5,1
16,0.633,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.120000,0.474974,0,5,5,3,1,0,5,1
16,0.648,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,4,0.100000,0.519615,0,5,5,4,1,0,5,1
16,0.663,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,4,0.190000,0.627615,0,5,5,4,1,0,5,1
16,0.678,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.080000,0.416653,0,5,5,3,1,0,5,1
16,0.693,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,5,0.260000,0.855804,0,0,10,5,0,1,5,1
17,0.710,0,2,0,10,0000000000000000000000000000000000000000001111111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,5,0.190000,0.757562,0,6,6,5,1,0,5,1
18,0.726,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.130000,0.559553,0,6,6,3,1,0,5,1
18,0.741,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.091837,0.430632,0,6,6,3,1,0,5,1
18,0.756,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.140000,0.510294,0,6,6,3,1,0,5,1
18,0.771,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,5,0.130000,0.610819,0,5,5,5,1,0,5,1
19,0.787,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.140000,0.529528,0,5,5,3,1,0,5,1
19,0.802,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,5,0.130000,0.626977,0,0,10,5,0,1,5,1
20,0.818,0,2,0,10,0000000000000000000000000000000000000000001111111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,2,0.060000,0.310483,0,6,6,2,1,0,5,1
21,0.834,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.100000,0.458258,0,6,6,3,1,0,5,1
21,0.849,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,4,0.150000,0.589491,0,6,6,4,1,0,5,1
21,0.864,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.100000,0.435890,0,6,6,3,1,0,5,1
21,0.879,1,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000100000000000000000111,0,4,0.160000,0.674092,0,6,6,4,1,0,5,1
21,0.894,1,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000100000000000000000111,0,5,0.150000,0.712390,0,5,5,5,1,0,5,1
22,0.910,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,1,0.040000,0.195959,0,6,6,1,1,0,5,1
23,0.926,0,6,0,6,0000000000000000000000000000000000000000000000111111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.110000,0.487750,0,5,5,3,1,0,5,1
24,0.942,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,1,0.040000,0.195959,0,5,5,1,1,0,5,1
24,0.957,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.080000,0.391918,0,5,5,3,1,0,5,1
24,0.972,1,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000010000000000000000000111,0,4,0.100000,0.479583,0,5,5,4,1,0,5,1
24,0.987,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.090000,0.402368,0,5,5,3,1,0,5,1
24,1.002,0,7,0,5,0000000000000000000000000000000000000000000000011111000000000000,0000000000000000000000000000000000000000000000000000000000000111,0,3,0.111111,0.446963,0,5,5,3,1,0,5,1
