iteration,time_sec,hvm_busy_cores,hvm_cores,primary_busy_cores,primary_cores,primary_cores_mask,system_busy_mask_raw,f_min,f_max,f_avg,f_stddev,f_med,pred_peak,upper_bound,cpu_max,overpredicted,safeguard,feedback_max,update_model
0,0.005,1,1,0,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000100000000000000000000110,0,2,0.070000,0.353695,0,0,11,2,1,0,2,0
0,0.010,1,1,0,11,0000000000000000000000000000000000000000011111111111000000000000,0000000000000000000000000000000000000000100000000000000000000010,0,3,0.190000,0.462493,0,1,1,3,1,0,3,1
1,0.026,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000000000000100000000000010,0,1,0.090000,0.286182,0,1,1,1,0,0,3,1
1,0.031,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000000000000100000000000010,0,1,0.100000,0.300000,0,1,1,1,0,0,3,1
1,0.037,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000000000000100000000000111,0,1,0.060000,0.237487,0,1,1,1,0,0,3,1
1,0.042,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000000000100000000000000100,0,1,0.110000,0.312890,0,1,1,1,0,0,3,1
1,0.047,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000000000100000000000000100,0,1,0.100000,0.300000,0,1,1,1,0,0,3,1
1,0.052,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000000000100000000000000111,0,1,0.110000,0.312890,0,1,1,1,0,0,3,1
1,0.057,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000001000000000000000000001,0,1,0.110000,0.312890,0,1,1,1,0,0,3,1
1,0.062,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000001000000000000000000001,0,1,0.100000,0.300000,0,1,1,1,0,0,3,1
1,0.067,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000001000000000000000000001,0,1,0.120000,0.324962,0,1,1,1,0,0,3,1
1,0.072,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000001000000000000000000001,0,1,0.150000,0.357071,0,1,1,1,0,0,3,1
1,0.077,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000001000000000000000000001,0,1,0.120000,0.324962,0,1,1,1,0,0,3,1
1,0.082,1,11,0,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000001000000000000000000001,0,1,0.100000,0.300000,0,1,1,1,0,0,3,1
1,0.087,1,11,1,1,0000000000000000000000000000000000000000000000000001000000000000,0000000000000000000000000000000000000000001000000001000000000001,0,1,0.130000,0.336303,0,1,2,1,0,0,3,1
2,0.103,1,10,0,2,0000000000000000000000000000000000000000000000000011000000000000,0000000000000000000000000000000000000000100000000000000000000010,0,2,0.160000,0.463033,0,2,2,2,0,0,3,1
